sample_type	sample	distance	value
Sediment	Bathypelagic-Sediment	codon_distance	0.010873572358732247
Sediment	Bathypelagic-Sediment	codon_distance	0.006288666801367365
Sediment	Bathypelagic-Sediment	codon_distance	0.020935995836122594
Sediment	Bathypelagic-Sediment	codon_distance	0.01263674870511429
Sediment	Bathypelagic-Sediment	codon_distance	0.031166562296969496
Sediment	Bathypelagic-Sediment	codon_distance	0.00928361040799884
Sediment	Bathypelagic-Sediment	codon_distance	0.011546502517372523
Sediment	Bathypelagic-Sediment	codon_distance	0.006269082489394621
Sediment	Bathypelagic-Sediment	codon_distance	0.0120623931494846
Sediment	Bathypelagic-Sediment	codon_distance	0.024857405768121163
Sediment	Bathypelagic-Sediment	codon_distance	0.010474625977709382
Sediment	Bathypelagic-Sediment	codon_distance	0.03759305121006545
Sediment	Bathypelagic-Sediment	codon_distance	0.003715933646522015
Sediment	Bathypelagic-Sediment	codon_distance	0.007115820703182451
Sediment	Bathypelagic-Sediment	codon_distance	0.0215429091681725
Sediment	Bathypelagic-Sediment	codon_distance	0.013426876246450654
Sediment	Bathypelagic-Sediment	codon_distance	0.016391017667844787
Sediment	Bathypelagic-Sediment	codon_distance	0.013175800693862516
Sediment	Bathypelagic-Sediment	codon_distance	0.01004969568286758
Sediment	Bathypelagic-Sediment	codon_distance	0.02447765270622399
Sediment	Bathypelagic-Sediment	codon_distance	0.01605555614265838
Sediment	Bathypelagic-Sediment	codon_distance	0.011918778382229874
Sediment	Bathypelagic-Sediment	codon_distance	0.00945694763273616
Sediment	Bathypelagic-Sediment	codon_distance	0.02385180462485048
Sediment	Bathypelagic-Sediment	codon_distance	0.00706895443951272
Sediment	Bathypelagic-Sediment	codon_distance	0.007248421884736134
Sediment	Bathypelagic-Sediment	codon_distance	0.022867951614329415
Sediment	Bathypelagic-Sediment	codon_distance	0.023044867499101382
Sediment	Bathypelagic-Sediment	codon_distance	0.00837981852439675
Sediment	Bathypelagic-Sediment	codon_distance	0.02052913935669349
Sediment	Bathypelagic-Sediment	codon_distance	0.01106118970230602
Sediment	Bathypelagic-Sediment	codon_distance	0.024741101948552273
Sediment	Bathypelagic-Sediment	codon_distance	0.007502139389823575
Sediment	Bathypelagic-Sediment	codon_distance	0.008774569351728026
