Superkindom	Phylum	Class	distance	value
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008519801927511832
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.06347886165816706
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007494284014124375
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012153593159438243
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005216738352516024
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.013212337349579795
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008463171451199515
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007607036279109585
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0070600173096515345
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02054473622547877
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014842749102973557
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012748477277609055
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.013125446751388402
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015571523124605418
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014562159972604792
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0040804972188045645
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.016518021926153443
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012870743957896528
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014352012123098183
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008537812278210608
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009407405153038674
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010557484029364956
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0061405539417726095
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01730873883666816
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.021654141975603367
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011191304530808353
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011473615236108667
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.07224713461747401
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011213664759081882
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006812754775098594
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015811303977067852
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.013090335185258282
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0029751255362359588
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02569046820995706
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.03410926687043392
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0061485134418912905
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007443522856763941
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.016708828575539687
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0033184877204155963
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01709106189811626
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.003607182085058141
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008958960180046492
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007739400028783957
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012995720974269868
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009405615823175388
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007217899776983626
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007364415199474003
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01684922887370899
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009659046566835729
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.019186772755150034
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006704918457264704
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.025836935625032274
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005631720217837219
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008607027057822679
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01553774946562851
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.003891220105489749
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.013704706184896637
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011662680403182505
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.013295044392812736
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010178613583315052
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010104618405681554
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005430420191157243
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008503999644479232
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012932292474112855
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0015646332723326126
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00776778289789978
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004404325413352357
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014536425164897379
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010906728307175982
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006699184966794429
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.003956204746342779
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00933146955823479
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011551605875928359
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006778023740462977
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006195060006369797
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02696585119970934
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.04747539787423943
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.07052571585670972
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004125120026518151
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0035142656711499203
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004272067223213099
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014111728268931815
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.020484628912541707
