sample_id	lat	lon	count	total_sample
sample_528	24.78	122.48	1	Sediment
sample_529	-26	-13.9	1	Sediment
sample_530	54.00135	179.581483	1	Seawater
sample_531	47	160	1	Seawater
sample_532	-37.78383333333333333333333333	49.7275	1	Sediment
sample_533	19.72	115.9	1	Seawater
sample_534	-21.7	78.85	1	Seawater
sample_535	35.23	119.93	1	Sediment
sample_536	27.79	126.89	1	Ambiguous
sample_537	3	-111	1	Sediment
sample_538	21.05	118.38	1	Seawater
sample_539	47.83	-129.75	1	Seawater
sample_540	-37.62	49.73	1	Seawater
sample_541	21.35	118.02	1	Seawater
sample_542	9.0633	143.5354	1	Sediment
sample_543	-47.94	-61.92	1	Seawater
sample_544	-11.42	66.43	1	Sediment
sample_545	-24.27	-178.47	1	Sediment
sample_546	35.97816666666666666666666667	120.409475	1	Sediment
sample_547	19.6	158.9	1	Seawater
sample_548	78.9	12.48	1	Sediment
sample_549	-15.18	-13.41	1	Sediment
sample_550	29.5	122.1	2	Seawater
sample_551	35	123	1	Seawater
sample_552	33.1	126.183	1	Seawater
sample_553	54.18	12.1	2	Seawater
sample_554	34.68	128.39	1	Seawater
sample_555	-62.19	-58.98	1	Seawater
sample_556	-16.0604	119.3541	1	Sediment
sample_557	21	157.7	1	Sediment
sample_558	25.26	124.37	1	Sediment
sample_559	33.45138888888888888888888889	137.5416666666666666666666667	1	Sediment
sample_560	24.56	-81.78	1	Seawater
sample_561	21.5	-126.5	1	Ambiguous
sample_562	30.885	121.971	1	Sediment
sample_563	19.69	119.33	1	Sediment
sample_564	-27.85	63.93	1	Sediment
sample_565	16	154.1	1	Sediment
sample_566	6.56	60.68	1	Ambiguous
sample_567	9.833333333333333333333333333	-104.3	1	Ambiguous
sample_568	-67.57	-68.12	1	Sediment
sample_569	-74.76	173.19	1	Ambiguous
sample_570	-31.87	-91.42	1	Seawater
sample_571	36.05	129.62	1	Seawater
sample_572	82.83	-159.15	1	Sediment
sample_573	4.65	179.38	1	Seawater
sample_574	31.0028	122.9996	1	Seawater
sample_575	28.43	126.51	1	Seawater
sample_576	11	139	1	Seawater
sample_577	39.28	-0.19	1	Seawater
sample_578	37.24138888888888888888888889	131.8605555555555555555555556	1	Sediment
sample_579	26.01	128.93	1	Seawater
sample_580	7.5	-145	1	Sediment
sample_581	30.42	121.53	1	Seawater
sample_582	8.51	-154.23	1	Sediment
sample_583	39.4747222	-0.32306	1	Seawater
sample_584	27.27	127.17	1	Ambiguous
sample_585	-6.95	110.42	1	Seawater
sample_586	49.036937	-125.208011	1	Seawater
sample_587	-3.734228333333333333333333333	151.6772138888888888888888889	1	Ambiguous
sample_588	37.28	126.37	1	Sediment
sample_589	-37.53	51.06	1	Seawater
sample_590	-15.1	-13.8	1	Sediment
sample_591	17.7	83.32	1	Seawater
sample_592	21.28293333333333333333333333	38.04975	1	Sediment
sample_593	20.33	38.85	1	Seawater
sample_594	49.28	-134.66	1	Seawater
sample_595	39.60277777777777777777777777	121.6611111111111111111111111	2	Sediment
sample_596	35.53	126.45	1	Seawater
sample_597	-3.1	-102.6	1	Ambiguous
sample_598	7.29	134.42	1	Sediment
sample_599	27.07	127.95	1	Ambiguous
sample_600	38.46	128.43	1	Seawater
sample_601	-50.67	68.42	1	Seawater
sample_602	78.38722222222222222222222222	-149.1152777777777777777777778	1	Sediment
sample_603	-8.06	137.52	1	Sediment
sample_604	-58.8024	-60.8996	1	Seawater
sample_605	41.39	2.23	1	Sediment
sample_606	30.13	-10.05	1	Seawater
sample_607	44.67	-125.1	4	Mixed
sample_608	8.33	-133	1	Seawater
sample_609	33.63	32.63	1	Seawater
sample_610	-4.31	-102.56	1	Ambiguous
sample_611	28.588	122.2404	1	Seawater
sample_612	1	-92	1	Seawater
sample_613	43.1	29	2	Seawater
sample_614	0.27	-93	1	Seawater
sample_615	-1.71	94.56066666666666666666666667	1	Sediment
sample_616	18.68	113.22	1	Seawater
sample_617	-13.857	-26.018	1	Seawater
sample_618	7.11	134.21	1	Sediment
sample_619	9.92	115.46	1	Seawater
sample_620	24.307512	120.518572	1	Seawater
sample_621	-7	149.8	1	Seawater
sample_622	-31.12	-3.92	1	Seawater
sample_623	22	119.3	1	Ambiguous
sample_624	19.98	111.42	1	Sediment
sample_625	-35.77	44.38	1	Seawater
