Sample_type	Host_group	sample	host_GC	host_protein_density	host_NARSC	host_CARSC	host_nucl	host_growth
Bathypelagic-Sediment	With_prophage	Sediment	0.42556742114981555	1.0310270097900802	0.3383	2.9861	2245334.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.2971640851953486	0.9061381216017524	0.3127	3.0961	2722543.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.441897361009094	0.9997191016136828	0.361	2.992	1719483.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.410291385214971	0.9919845791163883	0.3473	3.1353	2803471.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.46942957802185864	1.00385247943593	0.3549	3.0537	3387948.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5854919186578289	0.7180627907283534	0.371	2.8543	10536683.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6426875130080308	0.9139711634382828	0.397	2.8287	2786740.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6888592189503583	1.0851231047113923	0.3731	2.9194	2175790.0	4.77804282215274
Bathypelagic-Sediment	With_prophage	Sediment	0.6210297329293154	0.9932345512280807	0.372	2.95	2339830.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.48820519892535613	0.9898795466048431	0.3399	2.9766	2770034.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.46754160598275213	0.9277243563518908	0.3457	3.0661	1588834.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6031741509605177	1.071521275316075	0.3309	2.8165	1895436.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3902060341708086	0.9891976886266607	0.339	3.1108	3081285.0	0.423639361525398
Bathypelagic-Sediment	With_prophage	Sediment	0.497817072405785	0.849063234239429	0.3048	2.9873	2646446.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6696086429751762	0.9266527188448304	0.4063	2.8984	3365878.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6062740237438309	0.8938608587604001	0.3603	2.897	7095064.0	2.37823852990889
Bathypelagic-Sediment	With_prophage	Sediment	0.6020910818876083	0.7494232415517583	0.3772	3.0294	4135180.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5380178325171182	0.8318453622813591	0.3907	3.0679	4841044.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.7019484088908086	1.0470928188478408	0.3743	2.9161	2352227.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.45243664486042995	1.0178798286253763	0.3515	3.0381	2696782.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.47307251863669386	0.8145803616638696	0.3372	2.9614	3669374.0	2.37182584267546
Bathypelagic-Sediment	With_prophage	Sediment	0.47636901344533467	1.003945731346102	0.3429	2.9944	2626636.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4806076661752319	1.0614369442219809	0.3417	3.0631	1930402.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3315332751568571	1.043276473140506	0.3468	3.1135	2051230.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.553284142292314	1.109242096263407	0.391	3.1054	1616419.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.574545650256333	0.9452223834249446	0.362	2.8923	3864699.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5617307656489884	0.9308195735524847	0.3601	2.9359	2255002.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6396168957091988	0.98013712135344	0.3568	2.8127	4701383.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3585891929257703	0.9404885204680357	0.322	3.1551	2961227.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.428504959058568	1.2108815192206923	0.3447	3.2146	1583970.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4577357270146101	1.0568325558602698	0.3422	2.9597	2436526.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.46153893439473803	1.025692814661787	0.3529	3.021	2277485.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6296345607952984	1.0701380893005514	0.4055	2.981	1759586.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3333652849124643	1.0746925301872456	0.3245	3.1207	1429246.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5145051265028648	0.9295372437783294	0.3727	3.0082	3026237.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3441493913704741	0.8703428996792177	0.3115	3.0723	4668275.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4037360076877302	0.9750390015600624	0.3433	3.1593	1989664.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.48488183396757434	0.9526149279772977	0.3552	2.9263	3590118.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.34358361370832136	0.9291228915618666	0.3157	3.0798	3286971.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6387769912578021	0.9334378923417509	0.4124	2.9178	2291529.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.307830701846942	0.7252770113678118	0.3185	3.1517	6681585.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4603411279029941	1.0825903257937282	0.3498	3.1593	1652518.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6303177903032368	1.062790255610166	0.4054	2.9825	1646609.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5126823309319791	1.0298112306495992	0.3442	2.8995	2382961.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.7036134802245957	0.8928538073303671	0.3647	2.7719	6692025.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.545914944679082	1.002651691363356	0.3663	2.8896	3598458.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6375990859301477	0.8266012441506323	0.3655	2.856	3930553.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6243232429832519	0.8449792813143132	0.3964	2.9309	3684114.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5817755438336287	0.9964070875970948	0.3383	2.8212	4104748.0	4.24845782359672
Bathypelagic-Sediment	With_prophage	Sediment	0.6445445374238524	0.8689874154455036	0.373	2.8629	2474144.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.49202951058865024	1.0452939359651554	0.3446	2.9286	4060102.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.38440081160865763	1.157045400361768	0.3198	3.1122	1371597.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5089660123396903	0.9541785794205988	0.3698	2.9625	2877868.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5110019333372546	1.0022850680806048	0.3485	2.9696	3383269.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4797652496198051	0.9896918832555195	0.3282	3.0299	2911007.0	NA
